,FECHA,CLIENTE,CLIENTE_ID,BODEGA,PRODUCTO,VOLUMEN,IMPORTE
22,1/1/2021,Bernabe Victoria,50265164.0,Sureste,Multiproducto,33.48,20084.53266
23,1/1/2021,Zaira Colorado,50521692.0,Noreste,Cemento blanco,990.0,1880587.47
24,1/1/2021,Ramona Iglesias,50921269.0,Sureste,Cemento gris,327.6,627908.5773
25,1/1/2021,Elba Quevedo,50792000.0,Sureste,Cemento blanco,180.0,359435.8761
26,1/1/2021,Celso Cano,50170384.0,Sureste,Multiplast,113.4,241434.5596
27,1/1/2021,Josefa Castellanos,50447311.0,Sureste,Cemento gris,910.8,1702026.581
28,1/1/2021,Stephanie Peralta,50372824.0,Pacifico,Cemento gris,35.1,86848.15853
29,1/1/2021,Romulo Gongora,50933707.0,Centro,Cemento gris,298.8,637961.522
30,1/1/2021,Oliverio Castillo,50446512.0,Pacifico,Multiproducto,8.73,7075.633366
31,1/1/2021,Agueda Santana,50065019.0,Sureste,Multiproducto,44.82,28455.22376
32,1/1/2021,Magnolia Mares,50514557.0,Centro,Multiproducto,59.4,40002.47282
33,1/1/2021,Hector Gabriel,50860678.0,Noreste,Cemento blanco,149.4,306253.0534
34,1/1/2021,Ramona Iglesias,50921269.0,Sureste,Cemento blanco,324.0,645916.1408
35,1/1/2021,Lorena Teran,50524345.0,Sureste,Multiplast,156.42,320485.9339
36,1/1/2021,Eloina Mayo,50033779.0,Noreste,Multiplast,145.8,277707.0671
37,1/1/2021,Florina Terrazas,50737196.0,Pacifico,Cemento blanco,540.0,1304360.997
38,1/1/2021,Celia Uribe,50807165.0,Centro,Cemento gris,47.25,98891.18437
39,1/1/2021,Fortino Ordaz,50835988.0,Centro,Multiproducto,131.58,85885.83367
40,1/1/2021,Lizbeth Palma,50871184.0,Noreste,Multiproducto,171.36,96244.9992
41,1/1/2021,Hermenegildo Hernández,50225427.0,Pacifico,Cemento gris,460.35,1022543.738
42,1/1/2021,Crescencio Marcos,50594215.0,Sureste,Cemento gris,1234.8,2189089.961
43,1/1/2021,Justo Hau,50636678.0,Centro,Multiproducto,248.04,150117.5876
44,1/1/2021,Marilu Venegas,50283115.0,Noreste,Multiproducto,254.52,134643.7564
45,1/1/2021,Regina de La Fuente,50037649.0,Sureste,Multiplast,299.88,593072.1076
46,1/1/2021,Baldomero Saenz,50328996.0,Sureste,Multiproducto,100.98,59510.94696
47,1/2/2021,Lorena Teran,50524345.0,Sureste,Cemento gris,410.85,773727.085
48,1/2/2021,Crescencio Marcos,50594215.0,Sureste,Cemento blanco,535.5,1124231.082
49,1/2/2021,Erendira Segura,50982948.0,Noreste,Multiproducto,93.96,52457.14872
50,1/2/2021,Anastacio Cid,50447424.0,Centro,Cemento blanco,297.0,686874.2953
51,1/2/2021,Maurício Geronimo,50610981.0,Pacifico,Cemento blanco,135.45,345759.8195
52,1/2/2021,Ramona Iglesias,50921269.0,Sureste,Cemento blanco,180.0,359435.8761
53,1/2/2021,Felicita Arevalo,50927236.0,Noreste,Multiproducto,69.12,38593.5507
54,1/2/2021,Nadia Otero,50498698.0,Sureste,Cemento blanco,398.25,805277.1627
55,1/2/2021,Romeo Hernandez,50199004.0,Sureste,Multiproducto,105.84,62891.11339
56,1/2/2021,Armando Mota,50677330.0,Pacifico,Cemento gris,289.575,708143.7219
57,1/2/2021,Celso Cano,50170384.0,Sureste,Cemento gris,207.9,406725.6366
58,1/2/2021,Benita Almeida,50739444.0,Pacifico,Cemento blanco,439.875,1105229.079
59,1/2/2021,Maurício Geronimo,50610981.0,Pacifico,Cemento blanco,118.125,295858.7249
60,1/2/2021,Macrina Cabello,50863610.0,Centro,Multiproducto,83.7,56943.96352
61,1/2/2021,Lizbeth Palma,50871184.0,Noreste,Cemento gris,459.0,804515.7058
62,1/2/2021,Anastacio Cid,50447424.0,Centro,Multiproducto,46.035,31815.23524
63,1/2/2021,Saturnino Otero,50242446.0,Sureste,Cemento blanco,454.5,914471.3635
64,1/2/2021,Yajaira Delgadillo,50373435.0,Noreste,Multiproducto,5.355,3196.692482
65,1/2/2021,Karla Arteaga,50073499.0,Centro,Multiplast,144.855,318033.5315
66,1/2/2021,Isela Aceves,50908463.0,Noreste,Cemento gris,569.25,987601.4637
67,1/2/2021,Baldomero Saenz,50328996.0,Sureste,Cemento blanco,240.075,517176.5954
68,1/2/2021,Gisela Hipolito,50371459.0,Pacifico,Cemento blanco,242.775,620455.1525
69,1/2/2021,Stephanie Peralta,50372824.0,Pacifico,Cemento gris,18.0,43287.3579
70,1/2/2021,Anayeli Lazcano,50989512.0,Centro,Multiproducto,75.6,52653.33662
71,1/2/2021,Benjamin Nieto,50130864.0,Sureste,Cemento gris,491.4,928004.0402
72,1/2/2021,Estefana Barroso,50495006.0,Noreste,Multiplast,151.875,294467.5335
73,1/2/2021,Odilon Bocanegra,50538985.0,Pacifico,Multiproducto,142.74,104073.8553
74,1/2/2021,Augusto Espinoza,50722772.0,Pacifico,Multiplast,132.21,327792.9259
75,1/2/2021,Aniceto Alva,50822094.0,Sureste,Multiproducto,127.53,79696.96538
76,1/2/2021,Paulina Gutierrez,50606739.0,Sureste,Multiproducto,10.53,6910.859506
77,1/2/2021,Osvaldo Urias,50190893.0,Sureste,Cemento gris,148.5,303666.0058
78,1/2/2021,Marilu Venegas,50283115.0,Noreste,Multiplast,144.9,298871.1522
79,1/2/2021,Celso Cano,50170384.0,Sureste,Cemento blanco,272.7,546030.0046
80,1/2/2021,Amada Mondragon,50922523.0,Noreste,Cemento blanco,213.75,431611.7467
81,1/2/2021,Teresita Sepulveda,50772292.0,Sureste,Multiplast,87.975,179910.1066
82,1/2/2021,Regina de La Fuente,50037649.0,Sureste,Multiproducto,113.4,69236.64767
83,1/2/2021,Karina Ochoa,50039940.0,Sureste,Multiplast,110.25,242018.5529
84,1/2/2021,Rosalva Plata,50254765.0,Noreste,Multiproducto,122.67,71853.97206
85,1/2/2021,Jaime Romero,50372899.0,Noreste,Multiproducto,49.14,27956.79284
86,1/2/2021,Isela Aceves,50908463.0,Noreste,Cemento gris,534.6,988055.7042
87,1/2/2021,Karla Arteaga,50073499.0,Centro,Cemento gris,789.525,1594031.109
88,1/2/2021,Abigail Narvaez,50863107.0,Pacifico,Multiplast,54.54,148225.6409
89,1/2/2021,Carmela Lopez,50978212.0,Centro,Cemento blanco,263.25,580038.4056
90,1/2/2021,Leonel Castañon,50376820.0,Sureste,Multiproducto,30.78,19652.15649
91,1/2/2021,Marta Sanabria,50922564.0,Noreste,Multiproducto,43.74,26498.08447
92,1/2/2021,Stephanie Peralta,50372824.0,Pacifico,Multiplast,3.51,9441.47179
93,1/2/2021,Noe Badillo,50355574.0,Centro,Multiplast,66.555,157303.6979
94,1/2/2021,Osvaldo Urias,50190893.0,Sureste,Multiproducto,20.52,12503.40617
95,1/2/2021,Noe Badillo,50355574.0,Centro,Multiplast,91.035,206595.1314
96,1/2/2021,Ruperto Delgadillo,50553838.0,Centro,Cemento blanco,391.5,853164.5404
97,1/2/2021,Rosalva Plata,50254765.0,Noreste,Multiproducto,112.23,66043.9254
98,1/2/2021,Itzel Lobato,50050955.0,Centro,Cemento blanco,604.8,1429145.89
99,1/2/2021,Paulina Garrido,50550041.0,Sureste,Cemento gris,560.7,1094578.219
100,1/2/2021,Patrícia Venegas,50665452.0,Centro,Cemento gris,585.0,1167680.123
101,1/2/2021,Josefa Castellanos,50447311.0,Sureste,Cemento blanco,499.95,1073408.321
102,1/2/2021,Eloina Mayo,50033779.0,Noreste,Cemento blanco,461.7,912575.6362
103,1/2/2021,Librada Oropeza,50614578.0,Centro,Multiproducto,110.7,75187.45808
104,1/2/2021,Erendira Segura,50982948.0,Noreste,Cemento gris,540.0,958794.2704
105,1/2/2021,Elida Acosta,50003448.0,Noreste,Cemento gris,409.5,750729.0254
106,1/2/2021,Hector Gabriel,50860678.0,Noreste,Cemento blanco,81.0,158856.602
107,1/2/2021,Florina Terrazas,50737196.0,Pacifico,Cemento gris,411.75,918650.7341
108,1/2/2021,Teofilo Santoyo,50732461.0,Pacifico,Multiplast,61.2,169112.7541
109,1/2/2021,Modesta Merino,50478831.0,Centro,Cemento gris,346.5,781336.7201
110,1/2/2021,Jaime Romero,50372899.0,Noreste,Multiplast,74.34,142869.5909
111,1/2/2021,Veronica Coronado,50233427.0,Centro,Cemento blanco,96.75,220673.1679
112,1/2/2021,Baldomero Saenz,50328996.0,Sureste,Cemento gris,282.15,564901.4252
113,1/2/2021,Maximiliano Leija,50886319.0,Sureste,Multiplast,93.96,199666.8832
114,1/2/2021,Hermenegildo Hernández,50225427.0,Pacifico,Multiplast,45.54,122993.6652
115,1/2/2021,Modesta Merino,50478831.0,Centro,Cemento gris,378.0,793305.0632
116,1/2/2021,Teresita Sepulveda,50772292.0,Sureste,Multiplast,90.045,195487.1996
117,1/2/2021,Susana Rivero,50859860.0,Pacifico,Cemento gris,539.55,1189717.305
118,1/2/2021,Celso Cano,50170384.0,Sureste,Cemento gris,210.6,432508.1234
119,1/2/2021,Paulina Garrido,50550041.0,Sureste,Cemento blanco,623.7,1248459.818
120,1/2/2021,Florina Terrazas,50737196.0,Pacifico,Multiplast,56.7,142007.2432
121,1/2/2021,Felicita Arevalo,50927236.0,Noreste,Cemento gris,345.6,630918.3522
122,1/2/2021,Benjamin Nieto,50130864.0,Sureste,Multiproducto,152.46,91461.76132
123,1/2/2021,Regina de La Fuente,50037649.0,Sureste,Multiplast,100.8,211463.9304
124,1/2/2021,Librada Oropeza,50614578.0,Centro,Cemento gris,486.0,989374.9085
125,1/2/2021,Yeni Valadez,50071292.0,Noreste,Multiproducto,77.625,46369.33967
126,1/2/2021,Romeo Hernandez,50199004.0,Sureste,Cemento gris,621.0,1205415.299
127,1/2/2021,Elida Acosta,50003448.0,Noreste,Multiplast,98.1,196548.4597
128,1/2/2021,Ruperto Delgadillo,50553838.0,Centro,Cemento blanco,486.0,1149790.394
129,1/2/2021,Judith Zenteno,50367930.0,Centro,Cemento blanco,474.525,1102181.913
130,1/2/2021,Noe Badillo,50355574.0,Centro,Cemento blanco,428.4,1028511.668
131,1/2/2021,Judith Zenteno,50367930.0,Centro,Cemento blanco,410.4,892872.2847
132,1/2/2021,Saturnino Otero,50242446.0,Sureste,Multiplast,76.5,165357.4055
133,1/2/2021,Israel Crespo,50444347.0,Noreste,Multiplast,21.78,42718.61252
134,1/2/2021,Librada Oropeza,50614578.0,Centro,Cemento blanco,558.0,1248533.723
135,1/2/2021,Casimiro Melo,50473376.0,Pacifico,Cemento gris,92.25,227189.9784
136,1/2/2021,Augusto Espinoza,50722772.0,Pacifico,Multiplast,98.28,252256.6015
137,1/2/2021,Romeo Hernandez,50199004.0,Sureste,Cemento gris,550.8,1034453.22
138,1/2/2021,Stephanie Peralta,50372824.0,Pacifico,Multiplast,5.22,14172.75566
139,1/3/2021,Ruben Zamudio,50488559.0,Pacifico,Cemento gris,20.4525,48678.81659
140,1/3/2021,Maurício Geronimo,50610981.0,Pacifico,Cemento blanco,13.545,34208.6601
141,1/3/2021,Casimiro Melo,50473376.0,Pacifico,Cemento gris,8.4375,20511.67789
142,1/3/2021,Lizbeth Palma,50871184.0,Noreste,Multiplast,7.8795,16515.32429
143,1/3/2021,Josefa Castellanos,50447311.0,Sureste,Cemento blanco,38.115,78607.62179
144,1/3/2021,Carmela Lopez,50978212.0,Centro,Multiplast,4.3875,10725.52309
145,1/3/2021,Paulina Gutierrez,50606739.0,Sureste,Cemento gris,6.075,12568.95586
146,1/3/2021,Aniceto Alva,50822094.0,Sureste,Multiplast,9.594,20225.01729
147,1/3/2021,Veronica Coronado,50233427.0,Centro,Cemento blanco,8.55,21257.76495
148,1/3/2021,Modesta Merino,50478831.0,Centro,Cemento gris,38.115,80671.7793
149,1/3/2021,Casimiro Melo,50473376.0,Pacifico,Multiplast,2.7225,7325.287032
150,1/3/2021,Justo Hau,50636678.0,Centro,Cemento gris,65.52,138366.0891
151,1/3/2021,Hermenegildo Hernández,50225427.0,Pacifico,Multiplast,4.554,12734.85763
152,1/3/2021,Veronica Coronado,50233427.0,Centro,Multiproducto,2.25,1629.988271
153,1/3/2021,Higinio del Valle,50593846.0,Pacifico,Multiproducto,5.607,4374.90506
154,1/3/2021,Edilberto Valle,50003952.0,Pacifico,Multiproducto,7.4385,5741.875888
155,1/3/2021,Ruben Zamudio,50488559.0,Pacifico,Multiproducto,4.8195,3912.04819
156,1/3/2021,Eloina Mayo,50033779.0,Noreste,Cemento blanco,49.005,95370.01915
157,1/3/2021,Celso Cano,50170384.0,Sureste,Multiproducto,4.05,2561.159103
158,1/3/2021,Higinio del Valle,50593846.0,Pacifico,Cemento blanco,31.185,82704.69962
159,1/3/2021,Xochitl Tinoco,50532694.0,Centro,Cemento gris,4.005,9208.418135
160,1/3/2021,Benita Almeida,50739444.0,Pacifico,Cemento gris,61.065,140427.2778
161,1/3/2021,Avelina Elizalde,50956291.0,Centro,Multiproducto,2.6775,1939.370365
162,1/3/2021,Bernabe Victoria,50265164.0,Sureste,Cemento blanco,10.17,22320.7054
163,1/3/2021,Marco Sarabia,50403440.0,Noreste,Cemento gris,18.0225,33152.77929
164,1/3/2021,Agueda Santana,50065019.0,Sureste,Cemento gris,11.07,21133.15
165,1/3/2021,Gisela Hipolito,50371459.0,Pacifico,Multiplast,4.797,13542.17234
166,1/3/2021,Eloina Mayo,50033779.0,Noreste,Cemento gris,40.095,78882.95001
167,1/3/2021,Xochitl Tinoco,50532694.0,Centro,Multiplast,1.089,2558.705331
168,1/3/2021,Eloina Mayo,50033779.0,Noreste,Cemento gris,38.07,71344.06761
169,1/3/2021,Lupita Tuz,50636094.0,Pacifico,Cemento blanco,29.3625,72537.59725
170,1/3/2021,Romulo Gongora,50933707.0,Centro,Cemento gris,15.66,35280.47817
171,1/3/2021,Nayeli Sandoval,50458886.0,Centro,Cemento gris,22.0725,48726.99517
172,1/3/2021,Rosalva Plata,50254765.0,Noreste,Multiproducto,10.701,6310.513138
173,1/3/2021,Filomena Pinto,50790006.0,Noreste,Cemento blanco,17.6175,34725.09702
174,1/3/2021,Macrina Cabello,50863610.0,Centro,Multiplast,9.81,23215.69983
175,1/3/2021,Marilu Venegas,50283115.0,Noreste,Multiproducto,13.608,8015.791033
176,1/3/2021,Lizbeth Palma,50871184.0,Noreste,Multiplast,9.2565,18431.732
177,1/3/2021,Paulina Garrido,50550041.0,Sureste,Multiplast,11.34,25881.28902
178,1/3/2021,Nayeli Sandoval,50458886.0,Centro,Multiplast,3.9285,9509.020821
179,1/3/2021,Fortino Ordaz,50835988.0,Centro,Multiproducto,7.191,5097.662625
180,1/3/2021,Joel Gonzalez,50381431.0,Noreste,Cemento blanco,57.375,115036.1475
181,1/3/2021,Celso Cano,50170384.0,Sureste,Multiproducto,6.75,4091.90123
182,1/3/2021,Elodia Muñiz,50479455.0,Pacifico,Cemento gris,26.46,67442.87702
183,1/3/2021,Benjamin Nieto,50130864.0,Sureste,Multiproducto,11.214,7500.697938
184,1/3/2021,Amada Mondragon,50922523.0,Noreste,Cemento blanco,18.9,36869.14032
185,1/3/2021,Hector Gabriel,50860678.0,Noreste,Cemento blanco,8.28,16498.9308
186,1/3/2021,Santos Pelayo,50314062.0,Noreste,Multiplast,1.6065,3408.314113
187,1/3/2021,Justo Hau,50636678.0,Centro,Cemento gris,46.8,108263.7867
188,1/3/2021,Isela Aceves,50908463.0,Noreste,Cemento gris,48.51,87198.50872
189,1/3/2021,Oliverio Castillo,50446512.0,Pacifico,Cemento gris,1.9125,4837.817407
190,1/3/2021,Leonel Castañon,50376820.0,Sureste,Cemento gris,16.2,32845.9138
191,1/3/2021,Zaira Colorado,50521692.0,Noreste,Cemento gris,42.75,78482.38325
192,1/3/2021,Hector Gabriel,50860678.0,Noreste,Cemento blanco,9.54,18239.77642
193,1/3/2021,Felicita Arevalo,50927236.0,Noreste,Multiplast,5.472,11479.32238
194,1/3/2021,Maximo Luevano,50018002.0,Centro,Cemento gris,10.0125,21682.45142
195,1/3/2021,Romulo Gongora,50933707.0,Centro,Multiproducto,3.456,2355.305363
196,1/3/2021,Fidelia Santana,50614551.0,Sureste,Cemento gris,35.685,67989.13165
197,1/3/2021,Gisela Hipolito,50371459.0,Pacifico,Cemento blanco,34.2225,93407.43484
198,1/3/2021,Elba Quevedo,50792000.0,Sureste,Multiplast,1.755,4058.124357
199,1/3/2021,Santos Pelayo,50314062.0,Noreste,Multiproducto,1.323,790.9861162
200,1/3/2021,Ramona Iglesias,50921269.0,Sureste,Cemento gris,19.44,37859.52357
201,1/3/2021,Paulina Garrido,50550041.0,Sureste,Cemento gris,74.97,154245.1006
202,1/3/2021,Cipriano Zamudio,50641465.0,Sureste,Multiplast,6.678,15414.06013
203,1/3/2021,Yeni Valadez,50071292.0,Noreste,Cemento blanco,55.3725,115480.3531
204,1/3/2021,Agueda Santana,50065019.0,Sureste,Cemento blanco,14.445,29231.1375
205,1/3/2021,Magnolia Mares,50514557.0,Centro,Multiproducto,2.673,1917.132725
206,1/3/2021,Higinio del Valle,50593846.0,Pacifico,Cemento gris,23.625,57362.51681
207,1/3/2021,Rosalia Cancino,50610420.0,Noreste,Cemento blanco,32.04,67586.98807
208,1/3/2021,Anastacio Cid,50447424.0,Centro,Cemento blanco,24.9975,56159.46949
209,1/3/2021,Patrícia Venegas,50665452.0,Centro,Multiplast,13.104,30973.51915
210,1/3/2021,Zaira Colorado,50521692.0,Noreste,Multiplast,8.37,16845.59365
211,1/3/2021,Benjamin Nieto,50130864.0,Sureste,Cemento blanco,49.77,111007.9201
212,1/3/2021,Saturnino Otero,50242446.0,Sureste,Cemento blanco,34.65,77376.33441
213,1/3/2021,Karina Ochoa,50039940.0,Sureste,Multiplast,9.225,20665.37322
214,1/3/2021,Abigail Narvaez,50863107.0,Pacifico,Cemento blanco,29.7,77230.96348
215,1/3/2021,Baldomero Saenz,50328996.0,Sureste,Multiplast,5.3955,11628.99684
216,1/3/2021,Abigail Narvaez,50863107.0,Pacifico,Multiproducto,5.994,4676.172005
217,1/3/2021,Modesta Merino,50478831.0,Centro,Multiproducto,4.977,3707.720439
218,1/3/2021,Teofilo Santoyo,50732461.0,Pacifico,Multiproducto,6.984,5174.123692
219,1/3/2021,Altagracia Sanchez,50479135.0,Centro,Multiproducto,3.159,2332.568439
220,1/3/2021,Xochitl Tinoco,50532694.0,Centro,Multiproducto,0.891,601.4887051
221,1/3/2021,Romulo Gongora,50933707.0,Centro,Multiplast,3.276,7691.161626
222,1/3/2021,Karina Ochoa,50039940.0,Sureste,Multiplast,13.3875,28476.28025
223,1/3/2021,Modesta Merino,50478831.0,Centro,Cemento blanco,31.185,76660.32763
224,1/3/2021,Josefa Castellanos,50447311.0,Sureste,Multiplast,7.722,17477.63612
225,1/3/2021,Leonel Castañon,50376820.0,Sureste,Multiproducto,2.268,1406.229189
226,1/3/2021,Eloina Mayo,50033779.0,Noreste,Cemento gris,30.375,57528.54392
227,1/3/2021,Stephanie Peralta,50372824.0,Pacifico,Cemento blanco,2.07,5448.364139
228,1/3/2021,Zaira Colorado,50521692.0,Noreste,Multiplast,10.08,21110.51584
229,1/3/2021,Modesta Merino,50478831.0,Centro,Cemento gris,23.625,50583.31028
230,1/3/2021,Anastacio Cid,50447424.0,Centro,Cemento blanco,26.73,60675.57563
231,1/3/2021,Erendira Segura,50982948.0,Noreste,Multiproducto,8.964,5289.721521
232,1/3/2021,Ramona Iglesias,50921269.0,Sureste,Cemento blanco,21.6,47824.25509
233,1/3/2021,Anastacio Cid,50447424.0,Centro,Cemento gris,22.77,52777.1572
234,1/3/2021,Teofilo Santoyo,50732461.0,Pacifico,Multiplast,7.488,20514.88133
235,1/3/2021,Osvaldo Urias,50190893.0,Sureste,Cemento gris,13.095,25775.99107
236,1/3/2021,Perla Pascual,50351906.0,Pacifico,Cemento gris,62.6175,154588.1766
237,1/3/2021,Higinio del Valle,50593846.0,Pacifico,Cemento gris,31.185,74158.82505
238,1/3/2021,Amada Mondragon,50922523.0,Noreste,Multiplast,5.265,11045.90475
239,1/3/2021,Santos Pelayo,50314062.0,Noreste,Cemento blanco,7.0875,14980.04346
240,1/3/2021,Ruben Zamudio,50488559.0,Pacifico,Cemento blanco,22.0725,59153.97764
241,1/3/2021,Nadia Otero,50498698.0,Sureste,Multiplast,5.7375,12869.2494
242,1/3/2021,Estefana Barroso,50495006.0,Noreste,Cemento gris,49.2075,96739.19927
243,1/3/2021,Obed Pavon,50319031.0,Noreste,Cemento gris,14.3325,28256.54817
244,1/3/2021,Ruperto Delgadillo,50553838.0,Centro,Multiplast,10.71,25598.41652
245,1/3/2021,Osvaldo Urias,50190893.0,Sureste,Multiplast,2.781,5877.188027
246,1/3/2021,Zaira Colorado,50521692.0,Noreste,Multiproducto,8.55,5406.664914
247,1/3/2021,Elodia Muñiz,50479455.0,Pacifico,Multiproducto,5.454,4213.217018
248,1/3/2021,Filomena Pinto,50790006.0,Noreste,Multiplast,4.941,10675.32202
249,1/3/2021,Fortino Ordaz,50835988.0,Centro,Cemento gris,33.2775,77066.34319
250,1/3/2021,Maurício Geronimo,50610981.0,Pacifico,Cemento gris,18.7425,45070.26497
251,1/3/2021,Librada Oropeza,50614578.0,Centro,Multiplast,10.26,25528.00367
252,1/3/2021,Israel Crespo,50444347.0,Noreste,Cemento blanco,10.26,21680.02406
253,1/3/2021,Carmela Lopez,50978212.0,Centro,Multiproducto,6.7275,4674.538951
254,1/3/2021,Xochitl Tinoco,50532694.0,Centro,Multiproducto,1.116,824.6821358
255,1/3/2021,Saturnino Otero,50242446.0,Sureste,Multiplast,8.46,18027.70743
256,1/3/2021,Bernabe Victoria,50265164.0,Sureste,Cemento blanco,9.0,18220.30103
257,1/3/2021,Benjamin Nieto,50130864.0,Sureste,Cemento blanco,49.14,108564.335
258,1/3/2021,Maurício Geronimo,50610981.0,Pacifico,Cemento blanco,12.4425,34018.85693
259,1/3/2021,Benjamin Nieto,50130864.0,Sureste,Multiproducto,10.962,6913.835928
260,1/3/2021,Paulina Garrido,50550041.0,Sureste,Cemento blanco,71.19,147945.9303
261,1/3/2021,Erendira Segura,50982948.0,Noreste,Cemento gris,40.5,78918.29808
262,1/3/2021,Teresita Sepulveda,50772292.0,Sureste,Multiplast,11.799,25112.10519
263,1/3/2021,Elba Quevedo,50792000.0,Sureste,Cemento blanco,13.1625,27760.14416
264,1/3/2021,Augusto Espinoza,50722772.0,Pacifico,Multiproducto,10.764,8130.604975
265,1/3/2021,Saturnino Otero,50242446.0,Sureste,Multiproducto,10.26,6538.212752
266,1/3/2021,Paulina Gutierrez,50606739.0,Sureste,Cemento blanco,8.235,18252.07825
267,1/3/2021,Patrícia Venegas,50665452.0,Centro,Multiplast,9.126,22493.22836
268,1/3/2021,Stephanie Peralta,50372824.0,Pacifico,Multiplast,0.369,1023.50636
269,1/3/2021,Isela Aceves,50908463.0,Noreste,Multiproducto,7.524,4759.740905
270,1/3/2021,Maximiliano Leija,50886319.0,Sureste,Cemento blanco,66.42,135267.3828
271,1/3/2021,Natalia Arreola,50353825.0,Sureste,Cemento blanco,17.64,36438.98282
272,1/3/2021,Augusto Espinoza,50722772.0,Pacifico,Multiplast,14.391,37399.35034
273,1/3/2021,Leonel Castañon,50376820.0,Sureste,Multiproducto,3.375,2177.977197
274,1/3/2021,Felicita Arevalo,50927236.0,Noreste,Multiplast,6.84,14767.99386
275,1/3/2021,Teofilo Santoyo,50732461.0,Pacifico,Cemento gris,45.0,104709.9792
276,1/4/2021,Oliverio Castillo,50446512.0,Pacifico,Multiplast,7.56,19696.32041
277,1/4/2021,Celso Cano,50170384.0,Sureste,Multiproducto,80.892,47585.9684
278,1/4/2021,Nadia Otero,50498698.0,Sureste,Multiproducto,85.05,52046.11841
279,1/4/2021,Felicita Arevalo,50927236.0,Noreste,Cemento gris,504.0,916013.5776
280,1/4/2021,Altagracia Sanchez,50479135.0,Centro,Multiplast,32.13,78515.8721
281,1/4/2021,Librada Oropeza,50614578.0,Centro,Cemento blanco,617.4,1318448.358
282,1/4/2021,Benita Almeida,50739444.0,Pacifico,Cemento blanco,847.665,2153702.864
283,1/4/2021,Jaime Romero,50372899.0,Noreste,Multiproducto,82.026,46509.27357
284,1/4/2021,Carmela Lopez,50978212.0,Centro,Multiplast,67.977,170305.6374
285,1/4/2021,Nadia Otero,50498698.0,Sureste,Cemento gris,429.975,816587.9553
286,1/4/2021,Natalia Arreola,50353825.0,Sureste,Multiplast,41.895,86344.56124
287,1/4/2021,Fortino Ordaz,50835988.0,Centro,Multiplast,81.396,187377.0438
288,1/4/2021,Teresita Sepulveda,50772292.0,Sureste,Multiproducto,147.798,89742.84136
289,1/4/2021,Rosalva Plata,50254765.0,Noreste,Multiproducto,219.24,122788.8399
290,1/4/2021,Elva Tamez,50866741.0,Noreste,Cemento gris,630.0,1086738.66
291,1/4/2021,Teresita Sepulveda,50772292.0,Sureste,Cemento gris,825.93,1449645.721
292,1/4/2021,Rosalva Plata,50254765.0,Noreste,Multiplast,140.679,285155.6321
293,1/4/2021,Leonel Castañon,50376820.0,Sureste,Cemento gris,198.45,373009.8922
294,1/4/2021,Erendira Segura,50982948.0,Noreste,Multiplast,157.248,316463.4873
295,1/4/2021,Carmela Lopez,50978212.0,Centro,Multiproducto,61.425,41757.55334
296,1/4/2021,Georgina Elias,50956645.0,Noreste,Multiplast,7.182,14311.80607
297,1/4/2021,Librada Oropeza,50614578.0,Centro,Cemento gris,724.5,1577183.458
298,1/4/2021,Ramona Iglesias,50921269.0,Sureste,Cemento gris,309.96,601035.5221
